0,1,2,3,4,5,6
103.5,103.7,167.28024,85.60289,77.093216,54.107407,53.2
104.9,105.0,51.552353,144.04845,298.0679,284.91574,67.1
104.3,104.3,51.552353,144.04845,298.0679,284.91574,68.1
105.1,104.5,167.28024,85.60289,77.093216,54.107407,47.1
100.9,101.3,109.8487,20.591106,90.020424,51.627377,69.4
103.5,103.8,6.8949575,96.643234,352.34933,281.7346,95.5
105.1,104.5,109.8487,20.591106,90.020424,51.627377,57.9
103.5,103.4,160.26392,65.765686,96.278755,94.10327,53.9
104.5,104.7,160.26392,65.765686,96.278755,94.10327,52.3
104.1,103.8,51.552353,144.04845,298.0679,284.91574,68.3
102.3,102.6,51.552353,144.04845,298.0679,284.91574,69.1
104.0,103.4,51.552353,144.04845,298.0679,284.91574,65.9
104.2,104.1,57.277935,146.07857,245.04926,265.5475,61.0
104.6,103.8,167.28024,85.60289,77.093216,54.107407,48.1
102.3,102.6,6.8949575,96.643234,352.34933,281.7346,96.9
102.8,102.6,160.26392,65.765686,96.278755,94.10327,52.7
104.9,104.9,57.277935,146.07857,245.04926,265.5475,62.3
103.7,103.7,109.8487,20.591106,90.020424,51.627377,63.8
103.0,103.2,109.8487,20.591106,90.020424,51.627377,66.6
105.5,105.4,167.28024,85.60289,77.093216,54.107407,50.7
104.5,103.7,109.8487,20.591106,90.020424,51.627377,59.1
103.4,103.5,109.8487,20.591106,90.020424,51.627377,66.3
103.0,103.2,167.28024,85.60289,77.093216,54.107407,53.2
104.7,104.7,57.277935,146.07857,245.04926,265.5475,63.8
104.5,104.7,57.277935,146.07857,245.04926,265.5475,64.0
103.5,103.6,167.28024,85.60289,77.093216,54.107407,56.2
105.0,104.9,6.8949575,96.643234,352.34933,281.7346,97.2
104.8,104.1,51.552353,144.04845,298.0679,284.91574,63.0
104.8,104.5,57.277935,146.07857,245.04926,265.5475,61.1
104.4,104.9,167.28024,85.60289,77.093216,54.107407,53.5
100.9,101.1,51.552353,144.04845,298.0679,284.91574,67.5
105.0,104.9,109.8487,20.591106,90.020424,51.627377,61.6
105.1,104.6,160.26392,65.765686,96.278755,94.10327,51.6
105.1,104.5,6.8949575,96.643234,352.34933,281.7346,93.2
105.1,104.8,160.26392,65.765686,96.278755,94.10327,49.9
104.4,104.4,51.552353,144.04845,298.0679,284.91574,68.9
104.3,104.0,109.8487,20.591106,90.020424,51.627377,63.5
105.1,104.5,160.26392,65.765686,96.278755,94.10327,47.9
104.6,103.7,6.8949575,96.643234,352.34933,281.7346,95.7
102.4,103.0,57.277935,146.07857,245.04926,265.5475,66.0
103.8,103.9,109.8487,20.591106,90.020424,51.627377,67.0
104.4,104.1,6.8949575,96.643234,352.34933,281.7346,93.7
104.7,104.9,109.8487,20.591106,90.020424,51.627377,65.0
104.2,104.2,160.26392,65.765686,96.278755,94.10327,52.2
